mishima_dir,mishima_speed,aziro_dir,aziro_speed,tannna_dir,tanna_speed,judge
158,20,225,20,60,24,NotWest
158,20,203,20,72,28,NotWest
158,10,203,10,84,26,NotWest
158,20,203,10,72,28,NotWest
135,10,203,10,88,34,NotWest
158,20,203,10,84,22,NotWest
158,20,225,10,90,26,NotWest
158,20,203,10,82,26,NotWest
135,20,203,10,82,30,NotWest
90,10,203,10,74,24,NotWest
90,10,203,10,72,16,NotWest
0,0,203,10,72,24,NotWest
0,0,203,10,64,24,NotWest
68,10,158,10,84,22,NotWest
90,20,0,0,72,22,NotWest
68,10,203,10,90,24,NotWest
0,0,0,0,78,30,NotWest
0,0,203,10,70,20,NotWest
0,0,23,70,80,34,NotWest
0,0,23,70,92,26,NotWest
0,0,23,70,90,30,NotWest
68,10,23,50,72,32,NotWest
90,10,23,50,82,28,NotWest
135,10,23,50,46,16,NotWest
0,0,23,40,88,14,NotWest
0,0,360,30,74,26,NotWest
135,10,360,30,74,24,NotWest
135,20,23,40,68,24,NotWest
135,10,23,40,80,24,NotWest
90,10,23,30,82,24,NotWest
0,0,23,40,86,32,NotWest
68,10,23,30,78,30,NotWest
68,10,23,40,76,16,NotWest
90,20,23,40,84,30,NotWest
68,10,23,40,86,30,NotWest
90,10,23,40,108,26,NotWest
68,10,23,30,108,26,NotWest
68,10,360,30,94,32,NotWest
68,10,23,30,100,24,NotWest
90,20,23,30,78,16,NotWest
113,20,360,20,66,20,NotWest
90,10,338,20,76,30,NotWest
113,20,360,30,74,28,NotWest
113,10,23,30,88,28,NotWest
68,20,23,30,84,26,NotWest
90,20,23,50,80,30,NotWest
90,20,360,20,76,26,NotWest
90,10,338,10,78,24,NotWest
90,10,23,40,98,8,NotWest
113,10,23,40,84,20,NotWest
113,10,23,40,66,16,West
90,10,23,30,88,14,West
90,10,23,40,64,14,NotWest
135,20,23,50,90,14,NotWest
135,20,23,40,58,24,NotWest
90,20,23,40,68,24,NotWest
68,10,23,30,72,28,NotWest
90,20,23,40,74,18,NotWest
135,20,360,30,76,10,NotWest
113,10,360,20,62,16,NotWest
113,10,360,20,70,22,NotWest
90,20,360,20,72,22,NotWest
68,20,248,10,70,22,NotWest
68,20,203,10,80,16,NotWest
90,20,270,10,68,20,NotWest
90,20,360,20,74,18,NotWest
90,20,360,20,64,12,NotWest
90,20,270,10,46,8,NotWest
68,10,203,10,160,2,NotWest
90,10,293,10,214,2,NotWest
90,10,225,10,224,0,NotWest
90,20,338,10,94,0,NotWest
113,20,248,10,156,6,NotWest
90,20,293,10,92,10,SWest
90,20,315,10,80,20,SWest
90,30,338,10,90,14,SWest
90,30,270,10,80,8,SWest
90,30,315,10,54,8,SWest
90,30,270,10,86,22,SWest
90,30,248,10,60,20,SWest
90,20,203,10,76,24,SWest
90,20,225,20,58,20,SWest
90,20,203,20,62,28,SWest
90,20,225,10,66,28,SWest
90,30,203,10,70,36,SWest
