mishima_dir,mishima_speed,aziro_dir,aziro_speed,tannna_dir,tanna_speed,judge
225,20,293,10,200,54,West
0,0,225,10,200,54,West
225,10,203,20,194,52,West
248,20,180,20,208,46,West
248,30,225,30,208,46,West
248,30,203,30,204,42,West
248,30,203,30,216,46,West
248,30,248,30,208,44,West
248,40,248,20,206,46,West
270,30,248,20,212,48,West
270,40,270,20,206,48,West
270,40,270,30,214,50,West
270,60,270,40,210,46,West
270,50,248,40,208,54,West
270,40,248,30,208,54,West
270,40,270,30,222,54,West
270,50,248,30,214,52,West
270,50,270,30,220,52,West
270,50,270,30,238,58,West
270,50,248,20,220,56,West
270,50,248,30,206,56,West
270,40,270,20,216,50,West
270,40,248,40,200,60,West
270,40,270,30,198,60,West
270,40,270,30,212,54,West
270,40,270,40,210,56,West
270,40,270,30,214,56,West
270,30,248,20,216,52,West
248,40,270,30,216,50,West
270,40,270,30,162,50,West
293,40,270,40,214,46,West
270,40,270,40,216,42,West
293,40,270,50,206,44,Westnot
293,50,248,40,214,36,West
270,30,248,40,216,36,West
293,40,248,40,210,38,West
293,40,248,60,208,36,Westnot
293,50,248,50,216,38,Westnot
270,40,248,60,218,44,West
293,40,248,70,208,34,West
293,30,248,60,208,30,West
270,40,248,70,212,32,West
270,40,248,80,208,26,West
270,40,248,80,212,34,West
270,40,248,80,220,28,West
270,40,248,90,210,28,West
270,40,248,80,216,34,West
270,40,248,90,208,30,West
270,40,248,90,208,30,West
270,40,248,90,212,30,West
293,50,248,80,232,32,West
270,40,248,80,202,28,West
270,50,248,90,208,30,West
248,50,248,80,222,34,West
248,40,248,80,228,38,West
248,40,248,80,230,36,West
248,40,248,70,204,28,West
248,40,248,70,208,26,West
248,40,248,80,214,32,West
248,40,248,90,206,26,West
248,50,248,90,210,30,West
248,40,248,80,186,26,West
248,20,248,90,190,26,West
248,30,248,90,190,34,West
248,30,248,80,194,36,West
270,40,248,90,204,32,West
270,40,248,90,166,30,West
270,40,248,90,182,34,West
270,30,248,90,178,36,Westnot
248,30,248,90,196,38,West
248,30,248,90,196,38,West
270,20,248,90,202,38,West
270,20,248,90,196,36,West
315,10,248,90,192,38,West
90,20,248,90,218,34,West
113,20,248,90,184,40,West
90,10,248,80,184,36,West
90,20,248,90,184,36,West
90,30,248,90,214,42,West
90,20,248,80,208,42,West
113,20,248,90,210,54,West
90,20,248,80,210,50,West
68,10,225,80,212,50,West
68,20,248,80,194,54,West
113,20,248,80,216,52,West
158,20,225,80,196,46,West
180,10,248,90,232,54,West
135,10,248,100,222,54,West
135,10,248,90,196,42,West
158,20,248,100,182,44,West
158,20,248,100,184,52,West
158,20,248,100,204,50,West
203,10,248,100,196,48,West
0,0,248,100,184,46,West
270,10,248,100,200,46,West
90,10,248,100,194,52,West
135,10,225,70,188,46,West
158,10,225,80,178,44,West
90,20,248,80,194,58,West
113,20,225,80,196,38,West
135,10,225,70,180,50,West
90,20,248,70,178,60,West
113,20,248,70,176,48,West
113,20,248,60,188,46,West
158,20,248,60,184,48,West
158,20,248,60,180,42,West
180,20,248,50,172,44,West
180,10,248,40,168,48,West
180,10,225,50,160,52,West
135,10,248,50,178,48,West
0,0,203,30,188,40,West
0,0,113,20,178,44,West
225,10,315,20,168,48,West
0,0,270,30,162,44,West
0,0,248,30,174,60,West
90,10,225,30,178,50,West
